0,1,stock
52 Week High 3,11.37,PUMP
52 Week Low 3,6.62,PUMP
50-Day Moving Average 3,8.53,PUMP
200-Day Moving Average 3,8.97,PUMP
Beta (5Y Monthly),--,YALA
52 Week Range 3,21.64%,YALA
S&P 500 52-Week Change 3,28.04%,YALA
52 Week High 3,6.4400,YALA
52 Week Low 3,3.9000,YALA
50-Day Moving Average 3,4.8140,YALA
200-Day Moving Average 3,5.2362,YALA
Beta (5Y Monthly),1.35,PRU
52 Week Range 3,43.91%,PRU
S&P 500 52-Week Change 3,28.04%,PRU
52 Week High 3,121.40,PRU
52 Week Low 3,78.40,PRU
50-Day Moving Average 3,114.05,PRU
200-Day Moving Average 3,102.64,PRU
Beta (5Y Monthly),1.05,VOYA
52 Week Range 3,6.60%,VOYA
S&P 500 52-Week Change 3,28.04%,VOYA
52 Week High 3,77.00,VOYA
52 Week Low 3,63.02,VOYA
50-Day Moving Average 3,70.99,VOYA
200-Day Moving Average 3,70.16,VOYA
Beta (5Y Monthly),1.09,GDDY
52 Week Range 3,90.61%,GDDY
S&P 500 52-Week Change 3,28.04%,GDDY
52 Week High 3,139.21,GDDY
52 Week Low 3,69.18,GDDY
50-Day Moving Average 3,124.48,GDDY
200-Day Moving Average 3,99.38,GDDY
Beta (5Y Monthly),0.38,YY
52 Week Range 3,19.45%,YY
S&P 500 52-Week Change 3,28.04%,YY
52 Week High 3,43.20,YY
52 Week Low 3,24.12,YY
50-Day Moving Average 3,32.83,YY
200-Day Moving Average 3,35.33,YY
Beta (5Y Monthly),0.73,MOMO
52 Week Range 3,-29.26%,MOMO
S&P 500 52-Week Change 3,28.04%,MOMO
52 Week High 3,11.12,MOMO
52 Week Low 3,5.30,MOMO
50-Day Moving Average 3,6.03,MOMO
200-Day Moving Average 3,6.91,MOMO
Beta (5Y Monthly),2.24,PVH
52 Week Range 3,36.31%,PVH
S&P 500 52-Week Change 3,28.04%,PVH
52 Week High 3,141.15,PVH
52 Week Low 3,69.27,PVH
50-Day Moving Average 3,117.99,PVH
200-Day Moving Average 3,103.36,PVH
Beta (5Y Monthly),1.07,UGP
52 Week Range 3,39.83%,UGP
S&P 500 52-Week Change 3,28.04%,UGP
52 Week High 3,6.3500,UGP
52 Week Low 3,3.2500,UGP
50-Day Moving Average 3,5.3374,UGP
200-Day Moving Average 3,4.8960,UGP
Beta (5Y Monthly),0.69,INCY
52 Week Range 3,-12.12%,INCY
S&P 500 52-Week Change 3,28.04%,INCY
52 Week High 3,67.36,INCY
52 Week Low 3,50.27,INCY
50-Day Moving Average 3,55.27,INCY
200-Day Moving Average 3,58.49,INCY
Beta (5Y Monthly),0.63,CB
52 Week Range 3,34.46%,CB
S&P 500 52-Week Change 3,28.04%,CB
52 Week High 3,275.41,CB
52 Week Low 3,183.71,CB
50-Day Moving Average 3,253.11,CB
200-Day Moving Average 3,230.18,CB
Beta (5Y Monthly),0.08,FRO
52 Week Range 3,95.68%,FRO
S&P 500 52-Week Change 3,28.04%,FRO
52 Week High 3,29.05,FRO
52 Week Low 3,13.35,FRO
50-Day Moving Average 3,24.16,FRO
200-Day Moving Average 3,21.32,FRO
Beta (5Y Monthly),1.38,SEM
52 Week Range 3,19.89%,SEM
S&P 500 52-Week Change 3,28.04%,SEM
52 Week High 3,35.08,SEM
52 Week Low 3,21.28,SEM
50-Day Moving Average 3,29.65,SEM
200-Day Moving Average 3,26.58,SEM
Beta (5Y Monthly),0.57,GBDC
52 Week Range 3,24.47%,GBDC
S&P 500 52-Week Change 3,28.04%,GBDC
52 Week High 3,17.72,GBDC
52 Week Low 3,12.92,GBDC
50-Day Moving Average 3,16.55,GBDC
200-Day Moving Average 3,15.31,GBDC
Beta (5Y Monthly),1.49,CAKE
52 Week Range 3,16.84%,CAKE
S&P 500 52-Week Change 3,28.04%,CAKE
52 Week High 3,41.25,CAKE
52 Week Low 3,28.58,CAKE
50-Day Moving Average 3,35.60,CAKE
200-Day Moving Average 3,33.41,CAKE
Beta (5Y Monthly),1.12,BNL
52 Week Range 3,-1.70%,BNL
S&P 500 52-Week Change 3,28.04%,BNL
52 Week High 3,17.59,BNL
52 Week Low 3,13.68,BNL
50-Day Moving Average 3,14.97,BNL
200-Day Moving Average 3,15.53,BNL
Beta (5Y Monthly),0.78,AIRC
52 Week Range 3,10.01%,AIRC
S&P 500 52-Week Change 3,28.04%,AIRC
52 Week High 3,38.84,AIRC
52 Week Low 3,28.22,AIRC
50-Day Moving Average 3,35.88,AIRC
200-Day Moving Average 3,33.12,AIRC
